	Layer	Input(BS, Ni, Lr, Lc)	Filter(No, Ni, Fr, Fc)	Output(BS, No, Mr, Mc)	Sampling(Sr, Sc)	In_Mem	In_Move	Out_Mem	Out_Move	Band	Band_time	BLAS(M, N, K)	MACs	MAC_Unit	MAC_Cycle	Cx_Mem	Cx_Move	Time_serial	Time_parallel	Param #
16	Conv2d-16	[-1, 128, 224, 224]	[128, 128, 3, 3]	[-1, 128, 224, 224]	(1, 1)	6422528	1	6422528	1	41248872333312	8056.4203776	[128, 50176, 1152]	57802752	1024	5.6448e-05	822083584	1	8056.420434048	8056.4203776	tensor(1152)
17	BatchNorm2d-17	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	tensor(256)
18	ReLU-18	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	0
19	Conv2d-19	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]	(1, 1)	6422528	1	6422528	1	41248872333312	8056.4203776	[128, 50176, 128]	6422528	1024	6.272e-06	822083584	1	8056.4203838720005	8056.4203776	tensor(16384)
20	BatchNorm2d-20	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	tensor(256)
21	ReLU-21	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	0
22	Conv2d-22	[-1, 128, 224, 224]	[128, 128, 3, 3]	[-1, 128, 224, 224]	(1, 1)	6422528	1	6422528	1	41248872333312	8056.4203776	[128, 50176, 1152]	57802752	1024	5.6448e-05	822083584	1	8056.420434048	8056.4203776	tensor(1152)
23	BatchNorm2d-23	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	tensor(256)
24	ReLU-24	[-1, 128, 224, 224]	[128, 128, 1, 1]	[-1, 128, 224, 224]		6422528	1	6422528	1	41248872333312	8056.4203776			32	0	0	0	8056.4203776	8056.4203776	0
25	Conv2d-25	[-1, 128, 224, 224]	[256, 128, 1, 1]	[-1, 256, 224, 224]	(1, 1)	6422528	1	12845056	2	164995470065664	32225.6777472	[256, 50176, 128]	12845056	1024	1.2544e-05	1644167168	1	32225.677759743998	32225.6777472	tensor(32768)
26	BatchNorm2d-26	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	tensor(512)
27	ReLU-27	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	0
28	Conv2d-28	[-1, 256, 224, 224]	[256, 256, 3, 3]	[-1, 256, 224, 224]	(1, 1)	12845056	2	12845056	2	164995489333248	32225.6815104	[256, 50176, 2304]	115605504	1024	0.000112896	3288334336	1	32225.681623296	32225.6815104	tensor(2304)
29	BatchNorm2d-29	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	tensor(512)
30	ReLU-30	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	0
31	Conv2d-31	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]	(1, 1)	12845056	2	12845056	2	164995489333248	32225.6815104	[256, 50176, 256]	12845056	1024	1.2544e-05	3288334336	1	32225.681522944	32225.6815104	tensor(65536)
32	BatchNorm2d-32	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	tensor(512)
33	ReLU-33	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	0
34	Conv2d-34	[-1, 256, 224, 224]	[256, 256, 3, 3]	[-1, 256, 224, 224]	(1, 1)	12845056	2	12845056	2	164995489333248	32225.6815104	[256, 50176, 2304]	115605504	1024	0.000112896	3288334336	1	32225.681623296	32225.6815104	tensor(2304)
35	BatchNorm2d-35	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	tensor(512)
36	ReLU-36	[-1, 256, 224, 224]	[256, 256, 1, 1]	[-1, 256, 224, 224]		12845056	2	12845056	2	164995489333248	32225.6815104			32	0	0	0	32225.6815104	32225.6815104	0
37	Conv2d-37	[-1, 256, 224, 224]	[512, 256, 1, 1]	[-1, 512, 224, 224]	(1, 1)	12845056	2	25690112	4	659981880262656	128902.7109888	[512, 50176, 256]	25690112	1024	2.5088e-05	6576668672	1	128902.711013888	128902.7109888	tensor(131072)
38	BatchNorm2d-38	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
39	ReLU-39	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
40	Conv2d-40	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
41	BatchNorm2d-41	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
42	ReLU-42	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
43	Conv2d-43	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 512]	25690112	1024	2.5088e-05	13153337344	1	128902.726066688	128902.7260416	tensor(262144)
44	BatchNorm2d-44	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
45	ReLU-45	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
46	Conv2d-46	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
47	BatchNorm2d-47	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
48	ReLU-48	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
49	Conv2d-49	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 512]	25690112	1024	2.5088e-05	13153337344	1	128902.726066688	128902.7260416	tensor(262144)
50	BatchNorm2d-50	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
51	ReLU-51	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
52	Conv2d-52	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
53	BatchNorm2d-53	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
54	ReLU-54	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
55	Conv2d-55	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 512]	25690112	1024	2.5088e-05	13153337344	1	128902.726066688	128902.7260416	tensor(262144)
56	BatchNorm2d-56	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
57	ReLU-57	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
58	Conv2d-58	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
59	BatchNorm2d-59	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
60	ReLU-60	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
61	Conv2d-61	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 512]	25690112	1024	2.5088e-05	13153337344	1	128902.726066688	128902.7260416	tensor(262144)
62	BatchNorm2d-62	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
63	ReLU-63	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
64	Conv2d-64	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
65	BatchNorm2d-65	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
66	ReLU-66	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
67	Conv2d-67	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 512]	25690112	1024	2.5088e-05	13153337344	1	128902.726066688	128902.7260416	tensor(262144)
68	BatchNorm2d-68	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
69	ReLU-69	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
70	Conv2d-70	[-1, 512, 224, 224]	[512, 512, 3, 3]	[-1, 512, 224, 224]	(1, 1)	25690112	4	25690112	4	659981957332992	128902.7260416	[512, 50176, 4608]	231211008	1024	0.000225792	13153337344	1	128902.726267392	128902.7260416	tensor(4608)
71	BatchNorm2d-71	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	tensor(1024)
72	ReLU-72	[-1, 512, 224, 224]	[512, 512, 1, 1]	[-1, 512, 224, 224]		25690112	4	25690112	4	659981957332992	128902.7260416			32	0	0	0	128902.7260416	128902.7260416	0
73	Conv2d-73	[-1, 512, 224, 224]	[1024, 512, 1, 1]	[-1, 1024, 224, 224]	(1, 1)	25690112	4	51380224	8	2639927521050624	515610.8439552	[1024, 50176, 512]	51380224	1024	5.0176e-05	26306674688	1	515610.844005376	515610.8439552	tensor(524288)
74	BatchNorm2d-74	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	tensor(2048)
75	ReLU-75	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	0
76	Conv2d-76	[-1, 1024, 224, 224]	[1024, 1024, 3, 3]	[-1, 1024, 224, 224]	(1, 1)	51380224	8	51380224	8	2639927829331968	515610.9041664	[1024, 50176, 9216]	462422016	1024	0.000451584	52613349376	1	515610.904617984	515610.9041664	tensor(9216)
77	BatchNorm2d-77	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	tensor(2048)
78	ReLU-78	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	0
79	Conv2d-79	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]	(1, 1)	51380224	8	51380224	8	2639927829331968	515610.9041664	[1024, 50176, 1024]	51380224	1024	5.0176e-05	52613349376	1	515610.904216576	515610.9041664	tensor(1048576)
80	BatchNorm2d-80	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	tensor(2048)
81	ReLU-81	[-1, 1024, 224, 224]	[1024, 1024, 1, 1]	[-1, 1024, 224, 224]		51380224	8	51380224	8	2639927829331968	515610.9041664			32	0	0	0	515610.9041664	515610.9041664	0
82	AvgPool2d-82	[-1, 1024, 224, 224]	[1024, 1024, 7, 1]	[-1, 1024, 32, 32]	[-1, 1024, 224, 224]	51380224	8	1048576	0	1099922669568	214.8286464			32	0	52613349376	1	214.8286464	214.8286464	0
83	Linear-83	[-1, 1024]	[1000, 1024, 1, 1]	[-1, 1000]		1024	0	1000	0	1000000	0.0001953125	[1000, 1, 1024]	1024000	32	3.2e-05	1024000	1	0.0002273125	0.0001953125	tensor(1025000)
